parent_document_id,document_id,HaveSeenImages,accumulated_accuracy,all_accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,failed_audio,failed_images,failed_video,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timeout,timepassed_mins,timestamp,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
6307f3c967020d1202332b77,0v3IbYjF7e0oIea3stkP,Yes,1,0.8535353535353535,True,,,2.3,r,True,,True,,f,T_foil,3,,,,,768,6307f3c967020d1202332b77,1 (671).jpg,0.0-6.0-10.0-0.7,0,False,False,1,False,False,True,False,True,False,True,2,1,2,,0,,,2,,,,1,f,,1333,68177c12b166747e3416c165,images/1 (671).jpg,Cn,Cn,,0,25,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initialTest_response,8,0,8,0,523212,,8.73,2025-05-04 15:25:22.473000+00:00,134,image-keyboard-response,1,0,1,"studied only, in next trial, from last trial",,,,1366
6307f3c967020d1202332b77,0wIojjpZcHRaPowrl7yI,Yes,0.8776824034334763,0.8535353535353535,,,,2.3,r,True,,,,j,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (2246).jpg,0.0-25.0-1.0-0.21,0,True,,1,True,,True,False,,True,False,,7,0,10,0,,,,,,,1,j,,1087,68177c12b166747e3416c165,images/1 (2246).jpg,,B,,,24,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,21,0,466,2412230,,40.21,2025-05-04 15:25:41.018000+00:00,1231,image-keyboard-response,,,,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,16hYXZkaQWHphMllCXxo,Yes,0.8883248730964466,0.8535353535353535,,,,2.3,r,True,True,True,,j,T_foil,3,,,,,768,6307f3c967020d1202332b77,1 (1551).jpg,0.0-23.0-1.0-0.45,0,True,,1,True,,False,False,,True,True,,4,5,8,4,,,,,,,1,j,,992,68177c12b166747e3416c165,images/1 (1551).jpg,,Fnn,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,15,13,394,2301992,,38.37,2025-05-04 15:25:41.018000+00:00,1159,image-keyboard-response,,,,"tested only, in next trial",,,,1366
6307f3c967020d1202332b77,1ATJGtv4nThIS2M3qfjP,Yes,0.904,0.8535353535353535,,,,2.3,r,True,,,,f,F,3,,,,,768,6307f3c967020d1202332b77,1 (2149).jpg,0.0-18.0-1.0-0.16,0,True,,1,False,,False,False,,False,False,,0,0,3,3,,,1,,,,1,f,,926,68177c12b166747e3416c165,images/1 (2149).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,125,1953987,,32.57,2025-05-04 15:25:32.154000+00:00,890,image-keyboard-response,,,,final Foil,,,,1366
6307f3c967020d1202332b77,1BkldDmDxK6fRhf3Vq43,Yes,0.8333333333333334,0.8535353535353535,True,,,2.3,r,True,True,True,,f,T_foil,3,,,,,768,6307f3c967020d1202332b77,1 (1714).jpg,0.0-12.0-10.0-0.5,0,True,False,1,False,False,False,False,True,False,True,8,7,8,,0,,,2,,,,1,f,,1472,68177c12b166747e3416c165,images/1 (1714).jpg,Fnn,Fnn,,0,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initialTest_response,6,0,6,76,1403479,,23.40,2025-05-04 15:25:32.154000+00:00,588,image-keyboard-response,0,1,1,"tested only, in next trial, from last trial",,,,1366
6307f3c967020d1202332b77,1FRPw5bQJcdN436aGO4T,Yes,1,0.8535353535353535,False,,,2.3,r,True,True,,,j,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (1403).jpg,0.0-8.0-10.0-0.3,0,False,True,1,False,True,True,False,True,True,False,4,4,False,,0,,,1,,,,1,j,,1087,68177c12b166747e3416c165,images/1 (1403).jpg,B,B,,18,18,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initialTest_response,4,4,0,0,806567,,13.45,2025-05-04 15:25:22.473000+00:00,282,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,1G6uvReTkliJ19LkXjlf,Yes,,0.8535353535353535,,,,2.3,r,,,,,,,3,,,,,768,6307f3c967020d1202332b77,,0.0-9.0-5.0-0.2,0,,,1,,,,,,,,5,,,,,,,,,3,,,,,,68177c12b166747e3416c165,8,,,8,,,,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,51,digitPresentation,,,,,917104,,15.29,2025-05-04 15:25:22.473000+00:00,345,html-keyboard-response,,,,,,,,1366
6307f3c967020d1202332b77,1KJ0yK94smz3VgeheJ7c,Yes,,0.8535353535353535,False,,,2.3,r,,,,,,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (714).jpg,0.0-9.0-2.0-0.20,0,True,True,1,,True,True,False,True,True,False,5,5,0,3,0,,,1,,,,,,,,68177c12b166747e3416c165,images/1 (714).jpg,B,B,,21,21,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initial_study,30,30,0,127,886720,,14.79,2025-05-04 15:25:22.473000+00:00,331,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,1OOwI7QtAF0KqQtyHadk,Yes,0.8913043478260869,0.8535353535353535,,,,2.3,r,False,,,,j,T_foil,3,,,,,768,6307f3c967020d1202332b77,1 (914).jpg,0.0-19.0-1.0-0.27,0,True,,1,True,,False,False,,True,False,,1,False,4,1,,,,,,,0,f,,1121,68177c12b166747e3416c165,images/1 (914).jpg,,Fn,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,12,0,184,2024066,,33.74,2025-05-04 15:25:32.154000+00:00,949,image-keyboard-response,,,,"tested only, not in next trial",,,,1366
6307f3c967020d1202332b77,1Oia8SAUHPUHv33BtyxT,Yes,,0.8535353535353535,False,,,2.3,r,,,,,,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (1055).jpg,0.0-9.0-2.0-0.14,0,False,True,1,,True,True,False,True,True,False,5,5,0,,0,,,1,,,,,,,,68177c12b166747e3416c165,images/1 (1055).jpg,B,B,,15,15,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initial_study,1,1,0,0,873970,,14.57,2025-05-04 15:25:22.473000+00:00,325,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,1V1bckyQIiXuMvS7RmDW,Yes,0.8867924528301885,0.8535353535353535,,,,2.3,r,True,,,,f,F,3,,,,,768,6307f3c967020d1202332b77,1 (1120).jpg,0.0-23.0-1.0-0.22,0,True,,1,False,,False,False,,False,False,,0,0,8,8,,,1,,,,1,f,,1363,68177c12b166747e3416c165,images/1 (1120).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,371,2270711,,37.85,2025-05-04 15:25:41.018000+00:00,1136,image-keyboard-response,,,,final Foil,,,,1366
6307f3c967020d1202332b77,1YoAuPCS4jRUjUhXXnp2,Yes,0.8841463414634144,0.8535353535353535,,,,2.3,r,False,,,,f,F,3,,,,,768,6307f3c967020d1202332b77,1 (801).jpg,0.0-22.0-1.0-0.27,0,True,,1,False,,False,False,,False,False,,0,0,7,4,,,1,,,,0,j,,1245,68177c12b166747e3416c165,images/1 (801).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,328,2210976,,36.86,2025-05-04 15:25:41.018000+00:00,1093,image-keyboard-response,,,,final Foil,,,,1366
6307f3c967020d1202332b77,1ZO8exmrpm8WkNpGXsuJ,Yes,,0.8535353535353535,False,,,2.3,r,,,,,,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (1500).jpg,0.0-6.0-2.0-0.22,0,True,True,1,,True,True,False,True,True,False,2,2,0,5,0,,,1,,,,,,,,68177c12b166747e3416c165,images/1 (1500).jpg,B,B,,23,23,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initial_study,26,26,0,235,457698,,7.64,2025-05-04 15:25:22.473000+00:00,105,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,1c5GKzgGCeugiotdUUSu,Yes,0.8823529411764707,0.8535353535353535,,,,2.3,r,True,,,,f,F,3,,,,,768,6307f3c967020d1202332b77,1 (579).jpg,0.0-16.0-1.0-0.50,0,True,,1,False,,False,False,,False,False,,0,0,1,2,,,1,,,,1,f,,996,68177c12b166747e3416c165,images/1 (579).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,51,1878307,,31.31,2025-05-04 15:25:32.154000+00:00,816,image-keyboard-response,,,,final Foil,,,,1366
6307f3c967020d1202332b77,1cf28zFo2p4IviCkPrxg,Yes,,0.8535353535353535,,,,2.3,r,,,,,,,3,,,,,768,6307f3c967020d1202332b77,,0.0-13.0-5.0-0.7,0,,,1,,,,,,,,9,,,,,,,,,8,,,,,,68177c12b166747e3416c165,6,,,6,,,,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,60,digitPresentation,,,,,1534633,,25.58,2025-05-04 15:25:32.154000+00:00,654,html-keyboard-response,,,,,,,,1366
6307f3c967020d1202332b77,1czqRrI3EEM45SqfDGls,Yes,,0.8535353535353535,False,,,2.3,r,,,,,,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (557).jpg,0.0-13.0-2.0-0.26,0,True,True,1,,True,True,False,True,True,False,9,9,0,6,0,,,1,,,,,,,,68177c12b166747e3416c165,images/1 (557).jpg,B,B,,27,27,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initial_study,9,9,0,258,1501793,,25.04,2025-05-04 15:25:32.154000+00:00,641,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,1f7D5ppUselwQFUcAoYx,Yes,0.8944444444444445,0.8535353535353535,,,,2.3,r,True,,,,j,T_nontarget,3,,,,,768,6307f3c967020d1202332b77,1 (345).jpg,0.0-19.0-1.0-0.23,0,True,,1,True,,True,False,,False,False,,2,0,4,0,,,,,,,1,j,,1185,68177c12b166747e3416c165,images/1 (345).jpg,,A,,,12,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,180,2018614,,33.65,2025-05-04 15:25:32.154000+00:00,945,image-keyboard-response,,,,"studied only, not in trial",,,,1366
6307f3c967020d1202332b77,1fndPhYR4CIO4dLKlii6,Yes,,0.8535353535353535,False,,,2.3,r,,,,,,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (1593).jpg,0.0-5.0-2.0-0.0,0,True,True,1,,True,True,False,True,True,False,1,1,0,10,0,,,1,,,,,,,,68177c12b166747e3416c165,images/1 (1593).jpg,B,B,,1,1,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initial_study,6,6,0,486,224314,,3.75,2025-05-04 15:25:22.473000+00:00,7,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,1k8gpn3nRrfInvWqLcSX,Yes,0.8802660753880265,0.8535353535353535,,,,2.3,r,True,,,,f,F,3,,,,,768,6307f3c967020d1202332b77,1 (1223).jpg,0.0-25.0-1.0-0.6,0,True,,1,False,,False,False,,False,False,,0,0,10,2,,,1,,,,1,f,,1351,68177c12b166747e3416c165,images/1 (1223).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,451,2389816,,39.84,2025-05-04 15:25:41.018000+00:00,1216,image-keyboard-response,,,,final Foil,,,,1366
6307f3c967020d1202332b77,1kaeebC39afawDXLnHUc,Yes,,0.8535353535353535,False,,,2.3,r,,,,,,T_nontarget,3,,,,,768,6307f3c967020d1202332b77,1 (572).jpg,0.0-7.0-2.0-0.29,0,False,True,1,,True,True,False,False,False,False,3,3,0,,0,,,1,,,,,,,,68177c12b166747e3416c165,images/1 (572).jpg,A,A,,30,30,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initial_study,0,0,0,0,620333,,10.35,2025-05-04 15:25:22.473000+00:00,188,image-keyboard-response,1,0,0,"studied only, not in trial",,,,1366
6307f3c967020d1202332b77,1lTp6ThAg9527aKZyIvF,Yes,0.7222222222222222,0.8535353535353535,True,,,2.3,r,False,True,False,,f,T_foil,3,,,,,768,6307f3c967020d1202332b77,1 (284).jpg,0.0-14.0-10.0-0.17,0,True,False,1,False,False,True,False,True,True,False,10,9,0,,0,,,2,,,,0,j,,1326,68177c12b166747e3416c165,images/1 (284).jpg,Dn,Dn,,0,29,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initialTest_response,18,29,0,330,1713285,,28.56,2025-05-04 15:25:32.154000+00:00,752,image-keyboard-response,1,1,1,"current target, in next trial, from last trial",,,,1366
6307f3c967020d1202332b77,1qVB8u7RwA3pmMGheYvk,Yes,0.75,0.8535353535353535,True,,,2.3,r,True,True,True,,f,T_foil,3,,,,,768,6307f3c967020d1202332b77,1 (2280).jpg,0.0-7.0-10.0-0.23,0,True,True,1,False,False,False,False,True,True,True,3,3,4,4,0,,,1,,,,1,f,,1127,68177c12b166747e3416c165,images/1 (2280).jpg,Fnn+1,Fnn,,0,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initialTest_response,24,24,20,201,688674,,11.48,2025-05-04 15:25:22.473000+00:00,226,image-keyboard-response,0,1,1,"tested only, in next trial",,,,1366
6307f3c967020d1202332b77,1vTHrwFye7Hci0pc83hQ,Yes,,0.8535353535353535,True,,,2.3,r,,,,,,T_nontarget,3,,,,,768,6307f3c967020d1202332b77,1 (848).jpg,0.0-11.0-2.0-0.14,0,False,True,1,,True,True,False,False,False,True,7,7,8,,0,,,1,,,,,,,,68177c12b166747e3416c165,images/1 (848).jpg,Cn+1,Cn,,15,15,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initial_study,0,0,21,0,1170573,,19.52,2025-05-04 15:25:22.473000+00:00,477,image-keyboard-response,1,0,1,"studied only, in next trial",,,,1366
6307f3c967020d1202332b77,1ypasoTyqR2Zrh0y4Rs0,Yes,,0.8535353535353535,,,,2.3,r,,,,,,,3,,,,,768,6307f3c967020d1202332b77,,0.0-12.0-7.0-0.0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,68177c12b166747e3416c165,<p background:white>CORRECT!</p>,,,,,,,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,promptfeedback,,,,,1391008,,23.19,2025-05-04 15:25:32.154000+00:00,580,html-keyboard-response,,,,,,,,1366
6307f3c967020d1202332b77,27EhtdEvfcawoKJoK1KW,Yes,0.9,0.8535353535353535,,,,2.3,r,True,,,,j,T_nontarget,3,,,,,768,6307f3c967020d1202332b77,1 (712).jpg,0.0-19.0-1.0-0.3,0,True,,1,True,,True,False,,False,False,,4,0,4,0,,,,,,,1,j,,944,68177c12b166747e3416c165,images/1 (712).jpg,,A,,,11,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,160,1993856,,33.24,2025-05-04 15:25:32.154000+00:00,925,image-keyboard-response,,,,"studied only, not in trial",,,,1366
6307f3c967020d1202332b77,27Mi7KthpnosvAB0YEVp,Yes,0.8834498834498833,0.8535353535353535,,,,2.3,r,True,,,,j,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (971).jpg,0.0-24.0-1.0-0.32,0,True,,1,True,,True,False,,True,False,,2,0,9,0,,,,,,,1,j,,1175,68177c12b166747e3416c165,images/1 (971).jpg,,B,,,6,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,1,0,429,2353057,,39.22,2025-05-04 15:25:41.018000+00:00,1194,image-keyboard-response,,,,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,2DnA6QAo9W0slTMF8LH2,Yes,0.8857142857142856,0.8535353535353535,,,,2.3,r,True,,,,f,F,3,,,,,768,6307f3c967020d1202332b77,1 (1076).jpg,0.0-23.0-1.0-0.36,0,True,,1,False,,False,False,,False,False,,0,0,8,10,,,1,,,,1,f,,1373,68177c12b166747e3416c165,images/1 (1076).jpg,,FF,,,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,finalTest,,0,0,385,2290305,,38.18,2025-05-04 15:25:41.018000+00:00,1150,image-keyboard-response,,,,final Foil,,,,1366
6307f3c967020d1202332b77,2RYgBNKbRjkTLYoIn7RB,Yes,,0.8535353535353535,,,,2.3,r,,,,,,,3,,,,,768,6307f3c967020d1202332b77,,0.0-27.0,0,,,1,,,,,,,,,,,,,,,,,,,,0,,20498,68177c12b166747e3416c165,"<p>Have you seen any of the images used in this experiment before?</p>
    <p>These images may be part of a shared pool and could have been used in other studies. Please let us know if you believe you have participated in a different experiment where you saw a portion of overlaps of the exact same images.</p>
    <p>Your answer will not affect your approval rating or compensation.</p>",,,,,,,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,survey_HaveSeenImages,,,,,2571286,,42.86,2025-05-04 15:25:41.018000+00:00,1259,html-button-response,,,,,,,,1366
6307f3c967020d1202332b77,2TeB5IHsabfe5Jrfevk1,Yes,0.7619047619047619,0.8535353535353535,False,,,2.3,r,True,True,,,j,T_target,3,,,,,768,6307f3c967020d1202332b77,1 (564).jpg,0.0-7.0-10.0-0.20,0,True,True,1,False,True,True,False,True,True,False,3,3,False,,0,,,1,,,,1,j,,908,68177c12b166747e3416c165,images/1 (564).jpg,B,B,,10,10,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initialTest_response,21,21,0,348,685171,,11.43,2025-05-04 15:25:22.473000+00:00,223,image-keyboard-response,1,1,0,"current target, not in next trial",,,,1366
6307f3c967020d1202332b77,2WgzQklGPFu1lzLhVEAw,Yes,,0.8535353535353535,,,,2.3,r,,,,,,,3,,,,,768,6307f3c967020d1202332b77,,0.0-10.0-5.0-0.7,0,,,1,,,,,,,,6,,,,,,,,,8,,,,,,68177c12b166747e3416c165,7,,,7,,,,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,56,digitPresentation,,,,,1080172,,18.01,2025-05-04 15:25:22.473000+00:00,426,html-keyboard-response,,,,,,,,1366
6307f3c967020d1202332b77,2XDkw0pEs3O13Lsx2kFo,Yes,,0.8535353535353535,,,,2.3,r,,,,,,,3,,,,,768,6307f3c967020d1202332b77,,0.0-7.0-8.0-0.0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,68177c12b166747e3416c165,Now judge if you have seen this pictures from the list you JUST studied before the digits,,,,,,,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,prompt,,,,,656401,,10.95,2025-05-04 15:25:22.473000+00:00,201,html-keyboard-response,,,,,,,,1366
6307f3c967020d1202332b77,2Yj8ea6nVq5ko9WC100E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warmup,,,,,,,,,,,,,,,,,,
6307f3c967020d1202332b77,2ZphfXaHUXFXzON4ws4w,Yes,0.8333333333333334,0.8535353535353535,False,,,2.3,r,True,True,,,f,T_foil,3,,,,,768,6307f3c967020d1202332b77,1 (888).jpg,0.0-7.0-10.0-0.5,0,True,True,1,False,False,False,False,True,True,False,3,3,False,7,0,,,1,,,,1,f,,1338,68177c12b166747e3416c165,images/1 (888).jpg,Fn+1,Fn,,0,0,0,6814acf7a2b0960317ac048d,6307f3c967020d1202332b77,,,initialTest_response,6,6,0,307,666150,,11.11,2025-05-04 15:25:22.473000+00:00,208,image-keyboard-response,0,1,0,"tested only, not in next trial",,,,1366
